Ide,E,v,t
1156,210000,0.3,1
1157,210000,0.3,1
1158,210000,0.3,1
1159,210000,0.3,1
1160,210000,0.3,1
1161,210000,0.3,1
1162,210000,0.3,1
1163,210000,0.3,1
1164,210000,0.3,1
1165,210000,0.3,1
1166,210000,0.3,1
1167,210000,0.3,1
1168,210000,0.3,1
1169,210000,0.3,1
1170,210000,0.3,1
1171,210000,0.3,1
1172,210000,0.3,1
1173,210000,0.3,1
1174,210000,0.3,1
1175,210000,0.3,1
1176,210000,0.3,1
1177,210000,0.3,1
1178,210000,0.3,1
1179,210000,0.3,1
1180,210000,0.3,1
1181,210000,0.3,1
1182,210000,0.3,1
1183,210000,0.3,1
1184,210000,0.3,1
1185,210000,0.3,1
1186,210000,0.3,1
1187,210000,0.3,1
1188,210000,0.3,1
1189,210000,0.3,1
1190,210000,0.3,1
1191,210000,0.3,1
1192,210000,0.3,1
1193,210000,0.3,1
1194,210000,0.3,1
1195,210000,0.3,1
1196,210000,0.3,1
1197,210000,0.3,1
1198,210000,0.3,1
1199,210000,0.3,1
1200,210000,0.3,1
1201,210000,0.3,1
1202,210000,0.3,1
1203,210000,0.3,1
1204,210000,0.3,1
1205,210000,0.3,1
1206,210000,0.3,1
1207,210000,0.3,1
1208,210000,0.3,1
1209,210000,0.3,1
1210,210000,0.3,1
1211,210000,0.3,1
1212,210000,0.3,1
1213,210000,0.3,1
1214,210000,0.3,1
1215,210000,0.3,1
1216,210000,0.3,1
1217,210000,0.3,1
1218,210000,0.3,1
1219,210000,0.3,1
1220,210000,0.3,1
1221,210000,0.3,1
1222,210000,0.3,1
1223,210000,0.3,1
1224,210000,0.3,1
1225,210000,0.3,1
1226,210000,0.3,1
1227,210000,0.3,1
1228,210000,0.3,1
1229,210000,0.3,1
1230,210000,0.3,1
1231,210000,0.3,1
1232,210000,0.3,1
1233,210000,0.3,1
1234,210000,0.3,1
1235,210000,0.3,1
1236,210000,0.3,1
1237,210000,0.3,1
1238,210000,0.3,1
1239,210000,0.3,1
1240,210000,0.3,1
1241,210000,0.3,1
1242,210000,0.3,1
1243,210000,0.3,1
1244,210000,0.3,1
