id,idn,u0,u1,u2
873,56604,0,0,0
874,56605,0,0,0
875,56606,0,0,0
876,56607,0,0,0
877,56608,0,0,0
878,56609,0,0,0
879,56610,0,0,0
880,56611,0,0,0
881,56625,0,0,0
882,56626,0,0,0
883,56627,0,0,0
884,56628,0,0,0
885,57991,0,0,0
886,57992,0,0,0
887,57993,0,0,0
888,57994,0,0,0
889,57998,0,0,0
890,57999,0,0,0
891,58000,0,0,0
892,58001,0,0,0
893,58002,0,0,0
894,58003,0,0,0
895,58045,0,0,0
896,58046,0,0,0
897,58047,0,0,0
898,58099,0,0,0
899,58100,0,0,0
900,58101,0,0,0
901,58102,0,0,0
902,58147,0,0,0
903,58148,0,0,0
904,58149,0,0,0
905,58179,0,0,0
906,58180,0,0,0
907,58181,0,0,0
908,58182,0,0,0
909,58183,0,0,0
910,58184,0,0,0
911,58185,0,0,0
912,58206,0,0,0
913,58222,0,0,0
914,58394,0,0,0
915,58395,0,0,0
916,58499,0,0,0
917,58500,0,0,0
918,58501,0,0,0
919,58506,0,0,0
920,58507,0,0,0
921,58508,0,0,0
922,58509,0,0,0
923,58510,0,0,0
924,58524,0,0,0
925,58525,0,0,0
926,58546,0,0,0
927,58547,0,0,0
928,58548,0,0,0
929,58560,0,0,0
930,58561,0,0,0
931,60465,0,0,0
932,60466,0,0,0
933,60467,0,0,0
934,60468,0,0,0
935,60469,0,0,0
936,60666,0,0,0
937,60667,0,0,0
938,60668,0,0,0
939,61646,0,0,0
940,61647,0,0,0
941,61648,0,0,0
942,61649,0,0,0
943,61777,0,0,0
944,61778,0,0,0
945,61779,0,0,0
946,61780,0,0,0
947,61929,0,0,0
948,61930,0,0,0
949,61931,0,0,0
950,61932,0,0,0
951,62059,0,0,0
952,62061,0,0,0
953,62598,0,0,0
954,63596,0,0,0
955,63624,0,0,0
956,63625,0,0,0
957,63627,0,0,0
958,63636,0,0,0
959,63637,0,0,0
960,63646,0,0,0
961,63649,0,0,0
962,63650,0,0,0
963,63651,0,0,0
964,63652,0,0,0
965,63653,0,0,0
966,63659,0,0,0
967,63660,0,0,0
968,63661,0,0,0
969,64228,0,0,0
970,64229,0,0,0
971,64230,0,0,0
972,64235,0,0,0
973,64250,0,0,0
974,64251,0,0,0
975,64257,0,0,0
976,64258,0,0,0
977,64264,0,0,0
978,64265,0,0,0
979,64266,0,0,0
