id,s,dmax,dmin,L,E,ƒÏ
435,0.7,0.4,0.0001,2.5,210000,1.77
436,0.7,0.4,0.0001,2.5,210000,1.77
437,0.7,0.4,0.0001,2.5,210000,1.77
438,0.7,0.4,0.0001,2.5,210000,1.77
439,0.7,0.4,0.0001,2.5,210000,1.77
440,0.7,0.4,0.0001,2.5,210000,1.77
441,0.7,0.4,0.0001,2.5,210000,1.77
442,0.7,0.4,0.0001,2.5,210000,1.77
443,0.7,0.4,0.0001,2.5,210000,1.77
444,0.7,0.4,0.0001,2.5,210000,1.77
445,0.7,0.4,0.0001,2.5,210000,1.77
446,0.7,0.4,0.0001,2.5,210000,1.77
447,0.7,0.4,0.0001,2.5,210000,1.77
448,0.7,0.4,0.0001,2.5,210000,1.77
449,0.7,0.4,0.0001,2.5,210000,1.77
450,0.7,0.4,0.0001,2.5,210000,1.77
451,0.7,0.4,0.0001,2.5,210000,1.77
452,0.7,0.4,0.0001,2.5,210000,1.77
453,0.7,0.4,0.0001,2.5,210000,1.77
454,0.7,0.4,0.0001,2.5,210000,1.77
455,0.7,0.4,0.0001,2.5,210000,1.77
456,0.7,0.4,0.0001,2.5,210000,1.77
457,0.7,0.4,0.0001,2.5,210000,1.77
458,0.7,0.4,0.0001,2.5,210000,1.77
459,0.7,0.4,0.0001,2.5,210000,1.77
460,0.7,0.4,0.0001,2.5,210000,1.77
461,0.7,0.4,0.0001,2.5,210000,1.77
462,0.7,0.4,0.0001,2.5,210000,1.77
463,0.7,0.4,0.0001,2.5,210000,1.77
464,0.7,0.4,0.0001,2.5,210000,1.77
465,0.7,0.4,0.0001,2.5,210000,1.77
466,0.7,0.4,0.0001,2.5,210000,1.77
467,0.7,0.4,0.0001,2.5,210000,1.77
468,0.7,0.4,0.0001,2.5,210000,1.77
469,0.7,0.4,0.0001,2.5,210000,1.77
470,0.7,0.4,0.0001,2.5,210000,1.77
471,0.7,0.4,0.0001,2.5,210000,1.77
472,0.7,0.4,0.0001,2.5,210000,1.77
473,0.7,0.4,0.0001,2.5,210000,1.77
474,0.7,0.4,0.0001,2.5,210000,1.77
475,0.7,0.4,0.0001,2.5,210000,1.77
476,0.7,0.4,0.0001,2.5,210000,1.77
477,0.7,0.4,0.0001,2.5,210000,1.77
478,0.7,0.4,0.0001,2.5,210000,1.77
479,0.7,0.4,0.0001,2.5,210000,1.77
480,0.7,0.4,0.0001,2.5,210000,1.77
481,0.7,0.4,0.0001,2.5,210000,1.77
482,0.7,0.4,0.0001,2.5,210000,1.77
483,0.7,0.4,0.0001,2.5,210000,1.77
484,0.7,0.4,0.0001,2.5,210000,1.77
485,0.7,0.4,0.0001,2.5,210000,1.77
486,0.7,0.4,0.0001,2.5,210000,1.77
487,0.7,0.4,0.0001,2.5,210000,1.77
488,0.7,0.4,0.0001,2.5,210000,1.77
489,0.7,0.4,0.0001,2.5,210000,1.77
490,0.7,0.4,0.0001,2.5,210000,1.77
491,0.7,0.4,0.0001,2.5,210000,1.77
492,0.7,0.4,0.0001,2.5,210000,1.77
493,0.7,0.4,0.0001,2.5,210000,1.77
494,0.7,0.4,0.0001,2.5,210000,1.77
495,0.7,0.4,0.0001,2.5,210000,1.77
496,0.7,0.4,0.0001,2.5,210000,1.77
497,0.7,0.4,0.0001,2.5,210000,1.77
498,0.7,0.4,0.0001,2.5,210000,1.77
499,0.7,0.4,0.0001,2.5,210000,1.77
500,0.7,0.4,0.0001,2.5,210000,1.77
501,0.7,0.4,0.0001,2.5,210000,1.77
502,0.7,0.4,0.0001,2.5,210000,1.77
503,0.7,0.4,0.0001,2.5,210000,1.77
504,0.7,0.4,0.0001,2.5,210000,1.77
505,0.7,0.4,0.0001,2.5,210000,1.77
